glyph_name,ps_name,USV,sort_final,in_neo
.notdef,.notdef,,1,Y
.null,.null,,2,Y
nonmarkingreturn,nonmarkingreturn,000D,3,Y
space,space,0020,4,Y
exclam,exclam,0021,5,Y
quotedbl,quotedbl,0022,6,Y
numbersign,numbersign,0023,7,Y
dollar,dollar,0024,8,Y
percent,percent,0025,9,Y
ampersand,ampersand,0026,10,Y
quotesingle,quotesingle,0027,11,Y
parenleft,parenleft,0028,12,Y
parenright,parenright,0029,13,Y
asterisk,asterisk,002A,14,Y
plus,plus,002B,15,Y
comma,comma,002C,16,Y
hyphen,hyphen,002D,17,Y
period,period,002E,18,Y
slash,slash,002F,19,Y
zero,zero,0030,20,Y
one,one,0031,21,Y
two,two,0032,22,Y
three,three,0033,23,Y
four,four,0034,24,Y
five,five,0035,25,Y
six,six,0036,26,Y
seven,seven,0037,27,Y
eight,eight,0038,28,Y
nine,nine,0039,29,Y
colon,colon,003A,30,Y
semicolon,semicolon,003B,31,Y
less,less,003C,32,Y
equal,equal,003D,33,Y
greater,greater,003E,34,Y
question,question,003F,35,Y
at,at,0040,36,Y
A,A,0041,37,Y
B,B,0042,38,Y
C,C,0043,39,Y
D,D,0044,40,Y
E,E,0045,41,Y
F,F,0046,42,Y
G,G,0047,43,Y
H,H,0048,44,Y
I,I,0049,45,Y
J,J,004A,46,Y
K,K,004B,47,Y
L,L,004C,48,Y
M,M,004D,49,Y
N,N,004E,50,Y
O,O,004F,51,Y
P,P,0050,52,Y
Q,Q,0051,53,Y
R,R,0052,54,Y
S,S,0053,55,Y
T,T,0054,56,Y
U,U,0055,57,Y
V,V,0056,58,Y
W,W,0057,59,Y
X,X,0058,60,Y
Y,Y,0059,61,Y
Z,Z,005A,62,Y
bracketleft,bracketleft,005B,63,Y
backslash,backslash,005C,64,Y
bracketright,bracketright,005D,65,Y
asciicircum,asciicircum,005E,66,Y
underscore,underscore,005F,67,Y
grave,grave,0060,68,Y
a,a,0061,69,Y
b,b,0062,70,Y
c,c,0063,71,Y
d,d,0064,72,Y
e,e,0065,73,Y
f,f,0066,74,Y
g,g,0067,75,Y
h,h,0068,76,Y
i,i,0069,77,Y
j,j,006A,78,Y
k,k,006B,79,Y
l,l,006C,80,Y
m,m,006D,81,Y
n,n,006E,82,Y
o,o,006F,83,Y
p,p,0070,84,Y
q,q,0071,85,Y
r,r,0072,86,Y
s,s,0073,87,Y
t,t,0074,88,Y
u,u,0075,89,Y
v,v,0076,90,Y
w,w,0077,91,Y
x,x,0078,92,Y
y,y,0079,93,Y
z,z,007A,94,Y
braceleft,braceleft,007B,95,Y
bar,bar,007C,96,Y
braceright,braceright,007D,97,Y
asciitilde,asciitilde,007E,98,Y
uni007F,uni007F,007F,99,Y
nbspace,uni00A0,00A0,100,Y
exclamdown,exclamdown,00A1,101,Y
cent,cent,00A2,102,Y
sterling,sterling,00A3,103,Y
currency,currency,00A4,104,Y
yen,yen,00A5,105,Y
brokenbar,brokenbar,00A6,106,Y
section,section,00A7,107,Y
dieresis,dieresis,00A8,108,Y
copyright,copyright,00A9,109,Y
ordfeminine,ordfeminine,00AA,110,Y
guillemotleft,guillemotleft,00AB,111,Y
logicalnot,logicalnot,00AC,112,Y
softhyphen,sfthyphen,00AD,113,Y
registered,registered,00AE,114,Y
macron,macron,00AF,115,Y
degree,degree,00B0,116,Y
plusminus,plusminus,00B1,117,Y
twosuperior,twosuperior,00B2,118,Y
threesuperior,threesuperior,00B3,119,Y
acute,acute,00B4,120,Y
mu,mu,00B5,121,Y
paragraph,paragraph,00B6,122,Y
periodcentered,periodcentered,00B7,123,Y
cedilla,cedilla,00B8,124,Y
onesuperior,onesuperior,00B9,125,Y
ordmasculine,ordmasculine,00BA,126,Y
guillemotright,guillemotright,00BB,127,Y
onequarter,onequarter,00BC,128,Y
onehalf,onehalf,00BD,129,Y
threequarters,threequarters,00BE,130,Y
questiondown,questiondown,00BF,131,Y
Agrave,Agrave,00C0,132,Y
Aacute,Aacute,00C1,133,Y
Acircumflex,Acircumflex,00C2,134,Y
Atilde,Atilde,00C3,135,Y
Adieresis,Adieresis,00C4,136,Y
Aring,Aring,00C5,137,Y
AE,AE,00C6,138,Y
Ccedilla,Ccedilla,00C7,139,Y
Egrave,Egrave,00C8,140,Y
Eacute,Eacute,00C9,141,Y
Ecircumflex,Ecircumflex,00CA,142,Y
Edieresis,Edieresis,00CB,143,Y
Igrave,Igrave,00CC,144,Y
Iacute,Iacute,00CD,145,Y
