glyph_name,ps_name,USV,sort_final,in_neo
igrave,igrave,U+00EC,176,Y
iacute,iacute,U+00ED,177,Y
icircumflex,icircumflex,U+00EE,178,Y
idieresis,idieresis,U+00EF,179,Y
eth,eth,U+00F0,180,Y
ntilde,ntilde,U+00F1,181,Y
ograve,ograve,U+00F2,182,Y
oacute,oacute,U+00F3,183,Y
ocircumflex,ocircumflex,U+00F4,184,Y
otilde,otilde,U+00F5,185,Y
odieresis,odieresis,U+00F6,186,Y
divide,divide,U+00F7,187,Y
oslash,oslash,U+00F8,188,Y
ugrave,ugrave,U+00F9,189,Y
uacute,uacute,U+00FA,190,Y
ucircumflex,ucircumflex,U+00FB,191,Y
udieresis,udieresis,U+00FC,192,Y
yacute,yacute,U+00FD,193,Y
thorn,thorn,U+00FE,194,Y
ydieresis,ydieresis,U+00FF,195,Y
Abreve,Abreve,U+0102,196,Y
abreve,abreve,U+0103,197,Y
Ebreve,Ebreve,U+0114,198,Y
ebreve,ebreve,U+0115,199,Y
Ibreve,Ibreve,U+012C,200,Y
ibreve,ibreve,U+012D,201,Y
dotlessi,dotlessi,U+0131,202,Y
Eng,Eng,U+014A,203,Y
eng,eng,U+014B,204,Y
Obreve,Obreve,U+014E,205,Y
obreve,obreve,U+014F,206,Y
OE,OE,U+0152,207,Y
oe,oe,U+0153,208,Y
Scaron,Scaron,U+0160,209,Y
scaron,scaron,U+0161,210,Y
Ubreve,Ubreve,U+016C,211,Y
ubreve,ubreve,U+016D,212,Y
Ydieresis,Ydieresis,U+0178,213,Y
Zcaron,Zcaron,U+017D,214,Y
zcaron,zcaron,U+017E,215,Y
Ereversed,Ereversed,U+018E,216,Y
florin,florin,U+0192,217,Y
uni0194,uni0194,U+0194,218,Y
eturned,eturned,U+01DD,219,Y
dotlessj,uni0237,U+0237,220,Y
schwa,schwa,U+0259,221,Y
gammalatin,gammalatinsmall,U+0263,222,Y
circumflex,circumflex,U+02C6,223,Y
caron,caron,U+02C7,224,Y
colontriangularmod,colontriangularmod,U+02D0,225,Y
breve,breve,U+02D8,226,Y
dotaccent,dotaccent,U+02D9,227,Y
ring,ring,U+02DA,228,Y
ogonek,ogonek,U+02DB,229,Y
tilde,tilde,U+02DC,230,Y
hungarumlaut,hungarumlaut,U+02DD,231,Y
gravecomb,gravecomb,U+0300,232,Y
acutecomb,acutecomb,U+0301,233,Y
circumflexcmb,circumflexcmb,U+0302,234,Y
tildecomb,tildecomb,U+0303,235,Y
macroncmb,macroncmb,U+0304,236,Y
overlinecmb,overlinecmb,U+0305,237,Y
brevecmb,brevecmb,U+0306,238,Y
dotaccentcmb,dotaccentcmb,U+0307,239,Y
dieresiscmb,dieresiscmb,U+0308,240,Y
ringcmb,ringcmb,U+030A,241,Y
hungarumlautcmb,hungarumlautcmb,U+030B,242,Y
caroncmb,caroncmb,U+030C,243,Y
dotbelowcmb,dotbelowcmb,U+0323,244,Y
cedillacmb,cedillacmb,U+0327,245,Y
ogonekcmb,ogonekcmb,U+0328,246,Y
CGJ,uni034F,U+034F,247,Y
pi,pi,U+03C0,248,Y
Bdotbelow,Bdotbelow,U+1E04,249,Y
bdotbelow,bdotbelow,U+1E05,250,Y
Ddotbelow,Ddotbelow,U+1E0C,251,Y
ddotbelow,ddotbelow,U+1E0D,252,Y
Hdotbelow,Hdotbelow,U+1E24,253,Y
hdotbelow,hdotbelow,U+1E25,254,Y
Kdotbelow,Kdotbelow,U+1E32,255,Y
kdotbelow,kdotbelow,U+1E33,256,Y
Ldotbelow,Ldotbelow,U+1E36,257,Y
ldotbelow,ldotbelow,U+1E37,258,Y
Mdotbelow,Mdotbelow,U+1E42,259,Y
mdotbelow,mdotbelow,U+1E43,260,Y
Ndotbelow,Ndotbelow,U+1E46,261,Y
ndotbelow,ndotbelow,U+1E47,262,Y
Rdotbelow,Rdotbelow,U+1E5A,263,Y
rdotbelow,rdotbelow,U+1E5B,264,Y
Sdotbelow,Sdotbelow,U+1E62,265,Y
sdotbelow,sdotbelow,U+1E63,266,Y
Tdotbelow,Tdotbelow,U+1E6C,267,Y
tdotbelow,tdotbelow,U+1E6D,268,Y
Wdotbelow,Wdotbelow,U+1E88,269,Y
